"Available variables:<br>%1 = Number of Installments<br>%2 = Installments Amount","Available variables:<br>%1 = Number of Installments<br>%2 = Installments Amount"
"Up to %1 INTEREST FREE installments of %2 with DEBIT CARD","Up to <strong>%1</strong> INTEREST FREE installments of <strong>%2</strong> with <strong>DEBIT CARD</strong>"
"Number of Interest-Free Installments","Number of Interest-Free Installments"
"Message to display in the widget","Message to display in the widget"
"Widget Message","Widget Message"
"Number of maximum interest-free installments","Number of maximum interest-free installments"
"Enable Refunds","Enable Refunds"
"Refunds Configuration","Refunds Configuration"
"Maximum amount of days until refund is not accepted","Maximum amount of days until refund is not accepted"
"It must be a number between 1 and 30","It must be a number between 1 and 30"
"Sandbox Credentials","Sandbox Credentials"
"Refund ID: <b>%1</b>","Refund ID: <b>%1</b>"
"Refund Amount: <b>%1</b>","Refund Amount: <b>%1</b>"
"Refund Status: <b>%1</b>","Refund Status: <b>%1</b>"
"<b>Go Cuotas Payment Refund Information</b>","<b>Go Cuotas Payment Refund Information</b>"
"Checkout Position","Checkout Position"
"Payment method position","Payment method position"
"Orders Configuration","Orders Configuration"
"Status for Approved Orders","Status for Approved Orders"
"Status for Rejected Orders","Status for Rejected Orders"
"Others Configurations","Others Configurations"
"<b class='donotchange'>DO NOT CHANGE</b>: Used to authenticate Go Cuotas responses. If you change it, the pending payments will be <b>CANCELED</b>","<b class='donotchange'>DO NOT CHANGE</b>: Used to authenticate Go Cuotas responses. If you change it, the pending payments will be <b>CANCELED</b>"
"Up to <b>%1</b> interest-free installments of <b>%2</b>","Up to <b>%1</b> interest-free installments of <b>%2</b>"
"Transaction ID: <b>%1</b>","Transaction ID: <b>%1</b>"
"Payment Status: <b>%1</b>","Payment Status: <b>%1</b>"
"Installments: <b>%1</b>","Installments: <b>%1</b>"
"Waiting time exceeded. Please try again.","Waiting time exceeded. Please try again."
